food_name,food_type,category,protein_g,carbs_g,fat_g,fiber_g,calories_kcal,vitamins,minerals,vaat_suitable,pit_suitable,cough_suitable,vaat_rating,pit_rating,cough_rating,health_tags,body_type,suitability_label,recommendation,suitability_reason
Poha,Veg,Grains,2.0,23.0,0.4,0.5,110.0,"B1,B3","Fe,Mg",Yes,Yes,Yes,4,4,4,"Light,Easy Digest",Vaat,suitable,Yes,Provides stability and lubrication needed for Vaat balance.
Poha,Veg,Grains,2.0,23.0,0.4,0.5,110.0,"B1,B3","Fe,Mg",Yes,Yes,Yes,4,4,4,"Light,Easy Digest",Pit,suitable,Yes,Light and easily digestible – supports Pitta's strong digestion without overloading it.
Poha,Veg,Grains,2.0,23.0,0.4,0.5,110.0,"B1,B3","Fe,Mg",Yes,Yes,Yes,4,4,4,"Light,Easy Digest",Cough (Kapha),suitable,Yes,Bitter and astringent taste reduces mucus and excess Kapha.
Sooji/Semolina,Veg,Grains,3.6,27.0,0.5,0.3,130.0,"B1,B3","Fe,Mg",Yes,Yes,No,4,3,2,Light,Vaat,suitable,Yes,"Warm, oily, and grounding qualities pacify Vaat dosha."
Sooji/Semolina,Veg,Grains,3.6,27.0,0.5,0.3,130.0,"B1,B3","Fe,Mg",Yes,Yes,No,4,3,2,Light,Pit,moderately_suitable,Moderate,Can be included occasionally in moderate quantities for Pitta types.
Sooji/Semolina,Veg,Grains,3.6,27.0,0.5,0.3,130.0,"B1,B3","Fe,Mg",Yes,Yes,No,4,3,2,Light,Cough (Kapha),not_suitable,No,Difficult to digest – adds to Kapha's naturally slow digestion.
Moong Dal,Veg,Legumes,7.0,15.0,0.4,4.5,105.0,"B9,B1","Fe,K",Yes,Yes,Yes,5,5,5,"Tri-doshic,Easy Digest",Vaat,suitable,Yes,Easy to digest and warming – ideal for Vaat types.
Moong Dal,Veg,Legumes,7.0,15.0,0.4,4.5,105.0,"B9,B1","Fe,K",Yes,Yes,Yes,5,5,5,"Tri-doshic,Easy Digest",Pit,suitable,Yes,Anti-inflammatory and cooling effect balances Pitta's fiery nature.
Moong Dal,Veg,Legumes,7.0,15.0,0.4,4.5,105.0,"B9,B1","Fe,K",Yes,Yes,Yes,5,5,5,"Tri-doshic,Easy Digest",Cough (Kapha),suitable,Yes,Stimulates metabolism and helps reduce Kapha-related congestion.
Masoor Dal,Veg,Legumes,9.0,20.0,0.4,4.0,116.0,"B9,B1,B6","Fe,K,Mg",Yes,Yes,Yes,4,4,4,"Protein Rich,Light",Vaat,suitable,Yes,Sweet and nourishing properties balance Vaat's dry and cold nature.
Masoor Dal,Veg,Legumes,9.0,20.0,0.4,4.0,116.0,"B9,B1,B6","Fe,K,Mg",Yes,Yes,Yes,4,4,4,"Protein Rich,Light",Pit,suitable,Yes,Anti-inflammatory and cooling effect balances Pitta's fiery nature.
Masoor Dal,Veg,Legumes,9.0,20.0,0.4,4.0,116.0,"B9,B1,B6","Fe,K,Mg",Yes,Yes,Yes,4,4,4,"Protein Rich,Light",Cough (Kapha),suitable,Yes,"Light, dry, and pungent qualities balance Kapha's heavy and moist nature."
Chana Dal,Veg,Legumes,8.9,27.0,1.6,4.8,164.0,"B9,B1","Fe,Mg",No,Yes,Yes,2,4,4,Fiber Rich,Vaat,not_suitable,No,"Cold, dry, or pungent qualities aggravate Vaat dosha."
Chana Dal,Veg,Legumes,8.9,27.0,1.6,4.8,164.0,"B9,B1","Fe,Mg",No,Yes,Yes,2,4,4,Fiber Rich,Pit,suitable,Yes,Bitter or astringent taste pacifies excess Pitta heat.
Chana Dal,Veg,Legumes,8.9,27.0,1.6,4.8,164.0,"B9,B1","Fe,Mg",No,Yes,Yes,2,4,4,Fiber Rich,Cough (Kapha),suitable,Yes,"Light, dry, and pungent qualities balance Kapha's heavy and moist nature."
Urad Dal,Veg,Legumes,8.6,20.0,0.9,3.3,129.0,"B9,B1","Fe,K",Yes,No,No,4,2,2,"Heavy,Strengthening",Vaat,suitable,Yes,Easy to digest and warming – ideal for Vaat types.
Urad Dal,Veg,Legumes,8.6,20.0,0.9,3.3,129.0,"B9,B1","Fe,K",Yes,No,No,4,2,2,"Heavy,Strengthening",Pit,not_suitable,No,Fermented or sour – worsens acid and inflammation in Pitta types.
Urad Dal,Veg,Legumes,8.6,20.0,0.9,3.3,129.0,"B9,B1","Fe,K",Yes,No,No,4,2,2,"Heavy,Strengthening",Cough (Kapha),not_suitable,No,Excessive sweetness increases Kapha and promotes water retention.
Rajma,Veg,Legumes,8.7,22.0,0.5,6.4,127.0,"B9,B1,B6","Fe,K,Mg",No,Yes,No,2,4,2,Protein Rich,Vaat,not_suitable,No,Raw or cooling foods worsen Vaat's cold and dry tendencies.
Rajma,Veg,Legumes,8.7,22.0,0.5,6.4,127.0,"B9,B1,B6","Fe,K,Mg",No,Yes,No,2,4,2,Protein Rich,Pit,suitable,Yes,Cool and sweet properties effectively pacify excess Pit (Pitta) heat.
Rajma,Veg,Legumes,8.7,22.0,0.5,6.4,127.0,"B9,B1,B6","Fe,K,Mg",No,Yes,No,2,4,2,Protein Rich,Cough (Kapha),not_suitable,No,Difficult to digest – adds to Kapha's naturally slow digestion.
Chickpeas,Veg,Legumes,8.9,27.0,2.6,7.6,164.0,"B9,B6","Fe,Mg,Zn",No,Yes,Yes,2,4,4,"High Fiber,Protein",Vaat,not_suitable,No,Gaseous properties disturb Vaat and digestive function.
Chickpeas,Veg,Legumes,8.9,27.0,2.6,7.6,164.0,"B9,B6","Fe,Mg,Zn",No,Yes,Yes,2,4,4,"High Fiber,Protein",Pit,suitable,Yes,Cool and sweet properties effectively pacify excess Pit (Pitta) heat.
Chickpeas,Veg,Legumes,8.9,27.0,2.6,7.6,164.0,"B9,B6","Fe,Mg,Zn",No,Yes,Yes,2,4,4,"High Fiber,Protein",Cough (Kapha),suitable,Yes,Low in fat and calories – supports Kapha's tendency toward weight gain.
Toor Dal,Veg,Legumes,7.2,15.8,0.4,2.9,118.0,"B9,B1","Fe,K",Yes,Yes,Yes,4,4,4,"Light,Daily Use",Vaat,suitable,Yes,"Warm, oily, and grounding qualities pacify Vaat dosha."
Toor Dal,Veg,Legumes,7.2,15.8,0.4,2.9,118.0,"B9,B1","Fe,K",Yes,Yes,Yes,4,4,4,"Light,Daily Use",Pit,suitable,Yes,Light and easily digestible – supports Pitta's strong digestion without overloading it.
Toor Dal,Veg,Legumes,7.2,15.8,0.4,2.9,118.0,"B9,B1","Fe,K",Yes,Yes,Yes,4,4,4,"Light,Daily Use",Cough (Kapha),suitable,Yes,Bitter and astringent taste reduces mucus and excess Kapha.
Lobia,Veg,Legumes,7.7,24.0,0.5,6.5,116.0,"B9,B1","Fe,K,Mg",No,Yes,Yes,2,4,4,Fiber Rich,Vaat,not_suitable,No,Gaseous properties disturb Vaat and digestive function.
Lobia,Veg,Legumes,7.7,24.0,0.5,6.5,116.0,"B9,B1","Fe,K,Mg",No,Yes,Yes,2,4,4,Fiber Rich,Pit,suitable,Yes,Anti-inflammatory and cooling effect balances Pitta's fiery nature.
Lobia,Veg,Legumes,7.7,24.0,0.5,6.5,116.0,"B9,B1","Fe,K,Mg",No,Yes,Yes,2,4,4,Fiber Rich,Cough (Kapha),suitable,Yes,Warming spices help counter Kapha's cold and sluggish tendencies.
Green Moong Sprouts,Veg,Legumes,3.0,6.0,0.2,1.8,30.0,"C,B9","Fe,K",Yes,Yes,Yes,5,5,5,"Live Food,Enzyme Rich",Vaat,suitable,Yes,Sweet and nourishing properties balance Vaat's dry and cold nature.
Green Moong Sprouts,Veg,Legumes,3.0,6.0,0.2,1.8,30.0,"C,B9","Fe,K",Yes,Yes,Yes,5,5,5,"Live Food,Enzyme Rich",Pit,suitable,Yes,Cool and sweet properties effectively pacify excess Pit (Pitta) heat.
Green Moong Sprouts,Veg,Legumes,3.0,6.0,0.2,1.8,30.0,"C,B9","Fe,K",Yes,Yes,Yes,5,5,5,"Live Food,Enzyme Rich",Cough (Kapha),suitable,Yes,"Light, dry, and pungent qualities balance Kapha's heavy and moist nature."
Soybean,Veg,Legumes,17.0,11.0,9.0,6.0,173.0,"B9,B1,B2","Fe,Ca,Mg",No,No,No,2,2,2,"Heavy,High Protein",Vaat,not_suitable,No,Light and airy nature increases Vaat imbalance.
Soybean,Veg,Legumes,17.0,11.0,9.0,6.0,173.0,"B9,B1,B2","Fe,Ca,Mg",No,No,No,2,2,2,"Heavy,High Protein",Pit,not_suitable,No,Fermented or sour – worsens acid and inflammation in Pitta types.
Soybean,Veg,Legumes,17.0,11.0,9.0,6.0,173.0,"B9,B1,B2","Fe,Ca,Mg",No,No,No,2,2,2,"Heavy,High Protein",Cough (Kapha),not_suitable,No,Heavy and oily properties increase Kapha – leads to weight gain and congestion.
Spinach,Veg,Leafy Greens,2.9,3.6,0.4,2.2,23.0,"K,A,C,B9","Fe,Ca",Yes,Yes,Yes,4,4,4,"Iron Rich,Antioxidant",Vaat,suitable,Yes,Sweet and nourishing properties balance Vaat's dry and cold nature.
Spinach,Veg,Leafy Greens,2.9,3.6,0.4,2.2,23.0,"K,A,C,B9","Fe,Ca",Yes,Yes,Yes,4,4,4,"Iron Rich,Antioxidant",Pit,suitable,Yes,Cool and sweet properties effectively pacify excess Pit (Pitta) heat.
Spinach,Veg,Leafy Greens,2.9,3.6,0.4,2.2,23.0,"K,A,C,B9","Fe,Ca",Yes,Yes,Yes,4,4,4,"Iron Rich,Antioxidant",Cough (Kapha),suitable,Yes,Low in fat and calories – supports Kapha's tendency toward weight gain.
Methi/Fenugreek,Veg,Leafy Greens,4.4,6.0,0.9,2.7,49.0,"A,C,B9","Fe,Ca,K",Yes,No,Yes,4,2,4,Blood Sugar Control,Vaat,suitable,Yes,Easy to digest and warming – ideal for Vaat types.
Methi/Fenugreek,Veg,Leafy Greens,4.4,6.0,0.9,2.7,49.0,"A,C,B9","Fe,Ca,K",Yes,No,Yes,4,2,4,Blood Sugar Control,Pit,not_suitable,No,Excessive sweetness combined with heaviness disturbs Pitta.
Methi/Fenugreek,Veg,Leafy Greens,4.4,6.0,0.9,2.7,49.0,"A,C,B9","Fe,Ca,K",Yes,No,Yes,4,2,4,Blood Sugar Control,Cough (Kapha),suitable,Yes,Bitter and astringent taste reduces mucus and excess Kapha.
Palak,Veg,Leafy Greens,2.9,3.6,0.4,2.2,23.0,"K,A,C","Fe,Ca",Yes,Yes,Yes,4,4,4,Iron Rich,Vaat,suitable,Yes,Sweet and nourishing properties balance Vaat's dry and cold nature.
Palak,Veg,Leafy Greens,2.9,3.6,0.4,2.2,23.0,"K,A,C","Fe,Ca",Yes,Yes,Yes,4,4,4,Iron Rich,Pit,suitable,Yes,Anti-inflammatory and cooling effect balances Pitta's fiery nature.
Palak,Veg,Leafy Greens,2.9,3.6,0.4,2.2,23.0,"K,A,C","Fe,Ca",Yes,Yes,Yes,4,4,4,Iron Rich,Cough (Kapha),suitable,Yes,Bitter and astringent taste reduces mucus and excess Kapha.
Amaranth Leaves,Veg,Leafy Greens,2.5,3.7,0.5,2.0,23.0,"A,C,K","Ca,Fe",Yes,Yes,Yes,4,4,4,"Alkaline,Nutritious",Vaat,suitable,Yes,Sweet and nourishing properties balance Vaat's dry and cold nature.
Amaranth Leaves,Veg,Leafy Greens,2.5,3.7,0.5,2.0,23.0,"A,C,K","Ca,Fe",Yes,Yes,Yes,4,4,4,"Alkaline,Nutritious",Pit,suitable,Yes,Anti-inflammatory and cooling effect balances Pitta's fiery nature.
Amaranth Leaves,Veg,Leafy Greens,2.5,3.7,0.5,2.0,23.0,"A,C,K","Ca,Fe",Yes,Yes,Yes,4,4,4,"Alkaline,Nutritious",Cough (Kapha),suitable,Yes,"Light, dry, and pungent qualities balance Kapha's heavy and moist nature."
Drumstick Leaves,Veg,Leafy Greens,9.4,8.3,1.4,2.0,92.0,"A,C,B9","Ca,K,Fe",Yes,Yes,Yes,4,4,4,"Superfood,High Ca",Vaat,suitable,Yes,"Naturally sweet and moist, counteracts Vaat's dryness."
Drumstick Leaves,Veg,Leafy Greens,9.4,8.3,1.4,2.0,92.0,"A,C,B9","Ca,K,Fe",Yes,Yes,Yes,4,4,4,"Superfood,High Ca",Pit,suitable,Yes,Neutral and soothing – reduces inflammation associated with Pit dosha.
Drumstick Leaves,Veg,Leafy Greens,9.4,8.3,1.4,2.0,92.0,"A,C,B9","Ca,K,Fe",Yes,Yes,Yes,4,4,4,"Superfood,High Ca",Cough (Kapha),suitable,Yes,Warming spices help counter Kapha's cold and sluggish tendencies.
Broccoli,Veg,Vegetables,2.8,6.6,0.4,2.6,34.0,"C,K,B9","K,Ca",Yes,Yes,Yes,4,5,4,"Antioxidant,Anti-Cancer",Vaat,suitable,Yes,Sweet and nourishing properties balance Vaat's dry and cold nature.
Broccoli,Veg,Vegetables,2.8,6.6,0.4,2.6,34.0,"C,K,B9","K,Ca",Yes,Yes,Yes,4,5,4,"Antioxidant,Anti-Cancer",Pit,suitable,Yes,Neutral and soothing – reduces inflammation associated with Pit dosha.
Broccoli,Veg,Vegetables,2.8,6.6,0.4,2.6,34.0,"C,K,B9","K,Ca",Yes,Yes,Yes,4,5,4,"Antioxidant,Anti-Cancer",Cough (Kapha),suitable,Yes,Low in fat and calories – supports Kapha's tendency toward weight gain.
Cauliflower,Veg,Vegetables,1.9,5.0,0.3,2.0,25.0,"C,B9","K,Ca",No,Yes,Yes,2,4,4,Light,Vaat,not_suitable,No,Astringent taste aggravates Vaat – consume rarely if at all.
Cauliflower,Veg,Vegetables,1.9,5.0,0.3,2.0,25.0,"C,B9","K,Ca",No,Yes,Yes,2,4,4,Light,Pit,suitable,Yes,Anti-inflammatory and cooling effect balances Pitta's fiery nature.
Cauliflower,Veg,Vegetables,1.9,5.0,0.3,2.0,25.0,"C,B9","K,Ca",No,Yes,Yes,2,4,4,Light,Cough (Kapha),suitable,Yes,Warming spices help counter Kapha's cold and sluggish tendencies.
Carrot,Veg,Vegetables,0.9,9.6,0.2,2.8,41.0,"A,B6,C","K,Ca",Yes,Yes,Yes,5,4,4,"Eye Health,Antioxidant",Vaat,suitable,Yes,Sweet and nourishing properties balance Vaat's dry and cold nature.
Carrot,Veg,Vegetables,0.9,9.6,0.2,2.8,41.0,"A,B6,C","K,Ca",Yes,Yes,Yes,5,4,4,"Eye Health,Antioxidant",Pit,suitable,Yes,Anti-inflammatory and cooling effect balances Pitta's fiery nature.
Carrot,Veg,Vegetables,0.9,9.6,0.2,2.8,41.0,"A,B6,C","K,Ca",Yes,Yes,Yes,5,4,4,"Eye Health,Antioxidant",Cough (Kapha),suitable,Yes,"Light, dry, and pungent qualities balance Kapha's heavy and moist nature."
Beetroot,Veg,Vegetables,1.6,9.6,0.2,2.8,43.0,"B9,C,B6","Fe,K,Mn",Yes,No,Yes,4,2,4,Blood Purifier,Vaat,suitable,Yes,Sweet and nourishing properties balance Vaat's dry and cold nature.
Beetroot,Veg,Vegetables,1.6,9.6,0.2,2.8,43.0,"B9,C,B6","Fe,K,Mn",Yes,No,Yes,4,2,4,Blood Purifier,Pit,not_suitable,No,"Hot, sour, or spicy qualities significantly aggravate Pitta dosha."
Beetroot,Veg,Vegetables,1.6,9.6,0.2,2.8,43.0,"B9,C,B6","Fe,K,Mn",Yes,No,Yes,4,2,4,Blood Purifier,Cough (Kapha),suitable,Yes,Bitter and astringent taste reduces mucus and excess Kapha.
Pumpkin,Veg,Vegetables,1.0,6.5,0.1,0.5,26.0,"A,C,B6","K,Mg",Yes,Yes,Yes,5,5,5,"Tri-doshic,Sweet",Vaat,suitable,Yes,Provides stability and lubrication needed for Vaat balance.
Pumpkin,Veg,Vegetables,1.0,6.5,0.1,0.5,26.0,"A,C,B6","K,Mg",Yes,Yes,Yes,5,5,5,"Tri-doshic,Sweet",Pit,suitable,Yes,Anti-inflammatory and cooling effect balances Pitta's fiery nature.
Pumpkin,Veg,Vegetables,1.0,6.5,0.1,0.5,26.0,"A,C,B6","K,Mg",Yes,Yes,Yes,5,5,5,"Tri-doshic,Sweet",Cough (Kapha),suitable,Yes,"Light, dry, and pungent qualities balance Kapha's heavy and moist nature."
Zucchini,Veg,Vegetables,1.2,3.1,0.3,1.0,17.0,"C,B6","K,Mg",Yes,Yes,Yes,4,5,4,"Light,Cooling",Vaat,suitable,Yes,Sweet and nourishing properties balance Vaat's dry and cold nature.
Zucchini,Veg,Vegetables,1.2,3.1,0.3,1.0,17.0,"C,B6","K,Mg",Yes,Yes,Yes,4,5,4,"Light,Cooling",Pit,suitable,Yes,Light and easily digestible – supports Pitta's strong digestion without overloading it.
Zucchini,Veg,Vegetables,1.2,3.1,0.3,1.0,17.0,"C,B6","K,Mg",Yes,Yes,Yes,4,5,4,"Light,Cooling",Cough (Kapha),suitable,Yes,Bitter and astringent taste reduces mucus and excess Kapha.
Bitter Gourd,Veg,Vegetables,1.0,4.3,0.2,2.8,17.0,"C,B9","Fe,K",No,Yes,Yes,2,5,4,Diabetes Control,Vaat,not_suitable,No,Light and airy nature increases Vaat imbalance.
Bitter Gourd,Veg,Vegetables,1.0,4.3,0.2,2.8,17.0,"C,B9","Fe,K",No,Yes,Yes,2,5,4,Diabetes Control,Pit,suitable,Yes,Bitter or astringent taste pacifies excess Pitta heat.
Bitter Gourd,Veg,Vegetables,1.0,4.3,0.2,2.8,17.0,"C,B9","Fe,K",No,Yes,Yes,2,5,4,Diabetes Control,Cough (Kapha),suitable,Yes,Low in fat and calories – supports Kapha's tendency toward weight gain.
Ridge Gourd,Veg,Vegetables,0.7,3.7,0.2,0.6,20.0,"C,B6","Fe,Ca",Yes,Yes,Yes,4,5,5,"Light,Cooling",Vaat,suitable,Yes,Provides stability and lubrication needed for Vaat balance.
Ridge Gourd,Veg,Vegetables,0.7,3.7,0.2,0.6,20.0,"C,B6","Fe,Ca",Yes,Yes,Yes,4,5,5,"Light,Cooling",Pit,suitable,Yes,Neutral and soothing – reduces inflammation associated with Pit dosha.
Ridge Gourd,Veg,Vegetables,0.7,3.7,0.2,0.6,20.0,"C,B6","Fe,Ca",Yes,Yes,Yes,4,5,5,"Light,Cooling",Cough (Kapha),suitable,Yes,Bitter and astringent taste reduces mucus and excess Kapha.
Bottle Gourd,Veg,Vegetables,0.6,3.7,0.1,1.2,14.0,"C,B9","K,Ca",Yes,Yes,Yes,5,5,5,"Cooling,Easy Digest",Vaat,suitable,Yes,Sweet and nourishing properties balance Vaat's dry and cold nature.
Bottle Gourd,Veg,Vegetables,0.6,3.7,0.1,1.2,14.0,"C,B9","K,Ca",Yes,Yes,Yes,5,5,5,"Cooling,Easy Digest",Pit,suitable,Yes,Neutral and soothing – reduces inflammation associated with Pit dosha.
Bottle Gourd,Veg,Vegetables,0.6,3.7,0.1,1.2,14.0,"C,B9","K,Ca",Yes,Yes,Yes,5,5,5,"Cooling,Easy Digest",Cough (Kapha),suitable,Yes,Warming spices help counter Kapha's cold and sluggish tendencies.
Ash Gourd,Veg,Vegetables,0.4,4.0,0.1,0.8,13.0,"C,B9","K,Ca",Yes,Yes,Yes,4,5,5,"Cooling,Weight Loss",Vaat,suitable,Yes,"Naturally sweet and moist, counteracts Vaat's dryness."
Ash Gourd,Veg,Vegetables,0.4,4.0,0.1,0.8,13.0,"C,B9","K,Ca",Yes,Yes,Yes,4,5,5,"Cooling,Weight Loss",Pit,suitable,Yes,Anti-inflammatory and cooling effect balances Pitta's fiery nature.
Ash Gourd,Veg,Vegetables,0.4,4.0,0.1,0.8,13.0,"C,B9","K,Ca",Yes,Yes,Yes,4,5,5,"Cooling,Weight Loss",Cough (Kapha),suitable,Yes,Warming spices help counter Kapha's cold and sluggish tendencies.
Sweet Potato,Veg,Vegetables,1.6,20.0,0.1,3.0,86.0,"A,B6,C","K,Mn",Yes,No,Yes,5,2,4,"Energy,Beta-Carotene",Vaat,suitable,Yes,Provides stability and lubrication needed for Vaat balance.
Sweet Potato,Veg,Vegetables,1.6,20.0,0.1,3.0,86.0,"A,B6,C","K,Mn",Yes,No,Yes,5,2,4,"Energy,Beta-Carotene",Pit,not_suitable,No,Pungent taste fans Pitta's inner fire.
Sweet Potato,Veg,Vegetables,1.6,20.0,0.1,3.0,86.0,"A,B6,C","K,Mn",Yes,No,Yes,5,2,4,"Energy,Beta-Carotene",Cough (Kapha),suitable,Yes,Low in fat and calories – supports Kapha's tendency toward weight gain.
Potato,Veg,Vegetables,2.0,17.0,0.1,2.2,77.0,"C,B6,B9","K,Mg",Yes,No,No,4,2,2,"Heavy,Kapha Increasing",Vaat,suitable,Yes,Easy to digest and warming – ideal for Vaat types.
Potato,Veg,Vegetables,2.0,17.0,0.1,2.2,77.0,"C,B6,B9","K,Mg",Yes,No,No,4,2,2,"Heavy,Kapha Increasing",Pit,not_suitable,No,Heating properties increase internal heat – avoid when Pitta is elevated.
Potato,Veg,Vegetables,2.0,17.0,0.1,2.2,77.0,"C,B6,B9","K,Mg",Yes,No,No,4,2,2,"Heavy,Kapha Increasing",Cough (Kapha),not_suitable,No,Sweet and cold nature aggravates Kapha's already heavy and damp qualities.
Tomato,Veg,Vegetables,0.9,3.9,0.2,1.2,18.0,"C,K,A","K,Ca",No,No,Yes,2,2,4,"Cooling,Acidic",Vaat,not_suitable,No,Gaseous properties disturb Vaat and digestive function.
Tomato,Veg,Vegetables,0.9,3.9,0.2,1.2,18.0,"C,K,A","K,Ca",No,No,Yes,2,2,4,"Cooling,Acidic",Pit,not_suitable,No,Excessive sweetness combined with heaviness disturbs Pitta.
